"line_number","name","cik_key"
101,"08 AD VALOREM/QUEENLINESS, LLC",1480148
102,"08 BADGE OF SILVER/WISE ENDING, LLC",1487169
103,"08 BOLD EXECUTIVE/ORCADIA, LLC",1480149
104,"08 CANDY RIDE/MISS PUZZLE, LLC",1480150
105,"08 DA STOOPS/JATHIBIYAH, LLC",1487170
106,"08 DEHERE/SWEEPING BEAUTY, LLC",1480145
107,"08 EL CORREDOR/AMANDAS BANDIT, LLC",1491086
108,"08 EL CORREDOR/DANCING PRISM, LLC",1480146
109,"08 EL CORREDOR/HOT GOLDEN JET, LLC",1480151
110,"08 FIRST SAMURAI/SHOP AGAIN, LLC",1480152
111,"08 FLATTER/GLAMORAMA, LLC",1496718
112,"08 FLATTER/SLAMMIN' LIL, LLC",1490980
113,"08 GIANT'S CAUSEWAY/SMOKE'N FROLIC, LLC",1487171
114,"08 GRAND SLAM/FEMININE, LLC",1508945
115,"08 HOLY ROMAN EMPEROR/TING A GREELEY, LLC",1480153
116,"08 INDIAN CHARLIE/GREELEY MAE, LLC",1487165
117,"08 INDIAN CHARLIE/KING'S FANCY, LLC",1480154
118,"08 INDIAN CHARLIE/SARATOGA CAT, LLC",1480155
119,"08 JOHAR/ZAWAAYA, LLC",1491085
120,"08 MACHO UNO/I ALREADY KNOW, LLC",1487166
121,"08 MALIBU MOON/ASTICKYPROPOSITION, LLC",1480156
122,"08 MARGIE'S WILDCAT/A LOOSE KISSER, LLC",1490982
123,"08 MARIA'S MON/CANTAMAR, LLC",1494002
124,"08 ORIENTATE/SONG'N DANCE, LLC",1487167
125,"08 SIR SHACKLETON/LADY LYRA, LLC",1480157
126,"08 SMOKE GLACKEN/MINADO, LLC",1487180
127,"08 TAPIT/WORLD OF THANKS, LLC",1502766
128,"08 UNBRIDLED ENERGY/TWILIGHT LEAGUE, LLC",1490981
129,"0824239 B.C. LTD.",1489801
130,"0847473 B.C. LTD.",1573759
131,"0890697 B.C. LTD.",1502691
132,"0893787 B.C. LTD.",1514823
133,"09 ARCH/RUN WITH THE SPIRIT, LLC",1504314
134,"09 AWESOME AGAIN/BLIND CANYON, LLC",1503693
135,"09 BELLAMY ROAD/FOREVER DIXIE, LLC",1508946
136,"09 CITY ZIP/CAPOTE'S TUNE, LLC",1503690
137,"09 DYNAFORMER/MUST BE A LADY, LLC",1503689
138,"09 EMPIRE MAKER/ANGEL ARCH, LLC",1514958
139,"09 EXCLUSIVE QUALITY/ON THE PODIUM, LLC",1516672
140,"09 FLASHY BULL/CAROL'S AMORE, LLC",1503734
141,"09 FLASHY BULL/DESERT SUNRISE, LLC",1516650
142,"09 FLASHY BULL/DREAM CITY, LLC",1516651
143,"09 FLASHY BULL/LAELIA, LLC",1514975
144,"09 HALF OURS/DIXIE LYRICS, LLC",1503696
145,"09 LATENT HEAT/KNOTTY ASH, LLC",1503733
146,"09 LION HEART/SONG'N DANCE, LLC",1516652
147,"09 MACHO UNO/CHAMPAGNE COCKTAIL, LLC",1514976
148,"09 OFFLEE WILD FILLY LLC",1529918
149,"09 PROUD CITIZEN/MARIALUA, LLC",1503691
150,"09 PURE PRIZE/ABSOLUTELY LOVELY, LLC",1516653
151,"09 PURE PRIZE/YES IT'S ROYALTY, LLC",1516654
152,"09 PURIM/TOUCH ME ONCE, LLC",1514977
